,user_id,REGION,TENURE,MONTANT,FREQUENCE_RECH,REVENUE,ARPU_SEGMENT,FREQUENCE,DATA_VOLUME,ON_NET,ORANGE,TIGO,ZONE1,ZONE2,MRG,REGULARITY,TOP_PACK,FREQ_TOP_PACK,CHURN
2002883,ee0edca9314acddfdb96b508fd2675af670acb38,,K > 24 month,,,,,,1.0,,,,,,NO,4,,,1
456323,363e5261c3c601513ccf283e528804f95211fa26,,K > 24 month,,,,,,,,,,,,NO,2,,,0
886416,696dbfe1746803a46480dfc7e485ee15d7ef9166,,K > 24 month,3700.0,17.0,3402.0,1134.0,19.0,30.0,931.0,106.0,10.0,,,NO,53,On net 200F=Unlimited _call24H,10.0,0
1238525,93428588264fbd269d8e5082f761ce2e216bcc30,,K > 24 month,100.0,1.0,99.0,33.0,1.0,,,1.0,,,,NO,2,,,0
1337508,9eff2b419e6965066698120cb502e03d43db5c1f,KAOLACK,K > 24 month,,,,,,0.0,0.0,,,,,NO,7,,,0
1361043,a1cc535c8621e1ad3dc208276b997c3183ca009d,KOLDA,K > 24 month,200.0,1.0,211.0,70.0,3.0,0.0,28.0,8.0,,,,NO,49,On net 200F=Unlimited _call24H,1.0,0
1959921,e8f1056891c6ac209a2abcc6de06feda7f171367,THIES,K > 24 month,13350.0,36.0,13475.0,4492.0,38.0,0.0,1419.0,895.0,113.0,,,NO,62,Jokko_Daily,20.0,0
1702625,ca505d61235024b8b3a15508b6f73061333068f4,,K > 24 month,,,4.0,1.0,1.0,,,,,,,NO,3,,,1
2062543,f51ea2e3e1886fbf4ddb41a7223a7bb488c9c646,TAMBACOUNDA,K > 24 month,900.0,2.0,900.0,300.0,2.0,,19.0,18.0,,,,NO,50,On net 200F=Unlimited _call24H,1.0,0
1984310,ebd8c920eafccd8b2d106ec893f85e2fa0c831f6,KAFFRINE,K > 24 month,700.0,4.0,700.0,233.0,4.0,1.0,77.0,17.0,,,,NO,47,On net 200F=Unlimited _call24H,2.0,0
596243,46da0b2db2cc29960a75dd051ca27bab479fe2b3,DAKAR,K > 24 month,,,,,,,,,,,,NO,3,,,0
1616044,c00a4180ae3ec3c71c6d624c0e249ae794b8431c,,K > 24 month,,,,,,1.0,,,,,,NO,49,,,0
1332687,9e6fd827c9de6216752f9ac398b7aa1495ec8e11,SAINT-LOUIS,K > 24 month,1500.0,3.0,521.0,174.0,3.0,,3.0,35.0,,2.0,,NO,12,On net 200F=Unlimited _call24H,1.0,0
2127515,fcd4fd32a31037f66656aeb33a80b9ca702276f4,KAFFRINE,K > 24 month,3500.0,7.0,3500.0,1167.0,10.0,,35.0,140.0,,,,NO,48,All-net 500F =2000F_AllNet_Unlimited,6.0,0
1159173,89e081e0fbe3d0def3e54e5f65bdbd6de2d243bf,DAKAR,K > 24 month,48500.0,73.0,49351.0,16450.0,70.0,0.0,212.0,891.0,69.0,,,NO,62,All-net 500F=2000F;5d,96.0,0
1901706,e1fd298375a37aff1cbbda320e60e664751d48aa,THIES,K > 24 month,23200.0,38.0,24200.0,8067.0,38.0,1897.0,283.0,434.0,65.0,,,NO,62,All-net 500F=2000F;5d,44.0,0
928187,6e6a8a794721d0119cf250cbe62b94d8164e09d4,THIES,K > 24 month,700.0,2.0,700.0,233.0,2.0,,35.0,4.0,22.0,,,NO,37,On net 200F=Unlimited _call24H,1.0,0
976850,7433e6c5b48147d4a3e2523652e78a77e59e3145,,K > 24 month,,,31.0,10.0,2.0,,,,,,,NO,6,,,0
49414,05ee8a5fc6028b8ee27783dd0ca22e13efa932ac,,K > 24 month,3500.0,6.0,2791.0,930.0,6.0,5852.0,1.0,19.0,3.0,,,NO,19,"Data:490F=1GB,7d",6.0,0
1867721,ddf9015595adcffdcfc1b23fd20f52fae0a3bc8b,DAKAR,K > 24 month,4500.0,6.0,2505.0,835.0,16.0,,4.0,12.0,,2.0,,NO,29,Twter_U2opia_Weekly,9.0,0
2073423,f666f15eb3ccdd3a668e01a2ed135a97d597a05e,,K > 24 month,,,,,,151.0,,,,,,NO,3,,,1
1840830,dac519fb85a96c620d873bf12cfe63174f28d078,,K > 24 month,,,,,,,,,,,,NO,1,,,0
1827136,d9207515e0cdb2153c0ee41f9136e4b5fd87ef93,DAKAR,H 15-18 month,1400.0,4.0,1401.0,467.0,9.0,105.0,8.0,23.0,1.0,,,NO,45,"Data: 100 F=40MB,24H",3.0,0
1024559,79d780e3390cc6dc1b2b44d272ac2e8b3d1e91d0,THIES,K > 24 month,3600.0,8.0,4112.0,1371.0,17.0,449.0,89.0,75.0,46.0,,,NO,53,All-net 500F=2000F;5d,5.0,0
2082647,f781cd067889a43cee1f3ec054bc6e54c04a55e7,FATICK,K > 24 month,500.0,1.0,501.0,167.0,2.0,0.0,74.0,,,,,NO,41,On net 200F=Unlimited _call24H,1.0,0
465060,374a1abe9b840b8d542cceea38ec9164fc22525d,ZIGUINCHOR,K > 24 month,,,501.0,167.0,2.0,,,13.0,,,,NO,9,All-net 500F=2000F;5d,1.0,0
800460,5f28fc84943d6f9f8ec6da72f50a8309d58f4d61,,K > 24 month,,,,,,,,,,,,NO,1,,,0
455668,362acf86c52e9f9a4e6185bc2b4666ef1e150678,,K > 24 month,,,,,,,,,,,,NO,13,,,0
1769153,d24158a00bf68331b8d25653b19000fdd458cbed,DAKAR,K > 24 month,2600.0,7.0,2589.0,863.0,10.0,180.0,151.0,4.0,11.0,0.0,,NO,17,On net 200F=Unlimited _call24H,9.0,0
509284,3c8a93536844b6034f884529d28302495ccdc42b,,K > 24 month,1500.0,3.0,989.0,330.0,3.0,,0.0,6.0,0.0,1.0,,NO,20,,,0
